Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Densetsu no Yuusha no Densetsu,7.56,661,"265,258",TV,24,Funimation,Zexcs,"Action,Adventure,Fantasy",Shounen,R - 17+ (violence & profanity)
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.43,662,"266,478",TV,11,Funimation,Lerche,"Action,Horror,Mystery",NULL,R - 17+ (violence & profanity)
Shijou Saikyou no Deshi Kenichi,8.08,663,"264,789",TV,50,"Funimation,Discotek Media",TMS Entertainment,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Kemono Jihen,7.44,664,"268,064",TV,12,Funimation,Ajia-Do,"Action,Mystery,Supernatural",Shounen,R - 17+ (violence & profanity)
3D Kanojo: Real Girl,6.82,665,"266,709",TV,12,Sentai Filmworks,Hoods Entertainment,NULL,Shoujo,PG-13 - Teens 13 or older
Eizouken ni wa Te wo Dasu na!,8.15,666,"266,772",TV,12,Crunchyroll,Science SARU,"Adventure,Comedy",Seinen,PG-13 - Teens 13 or older
Shoujo Shuumatsu Ryokou,8.19,667,"266,288",TV,12,Sentai Filmworks,White Fox,"Adventure,Mystery,Sci-Fi,Slice of Life",NULL,PG-13 - Teens 13 or older
Seiken Tsukai no World Break,6.84,668,"264,693",TV,12,Funimation,Diomedéa,"Action,Fantasy,Romance,Supernatural",NULL,R - 17+ (violence & profanity)
Amnesia,6.03,669,"264,418",TV,12,Sentai Filmworks,Brain's Base,"Fantasy,Mystery,Romance",NULL,PG-13 - Teens 13 or older
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,6.86,670,"264,069",TV,12,Sentai Filmworks,asread.,"Comedy,Fantasy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,6.48,671,"264,064",TV,12,Funimation,SILVER LINK.,"Comedy,Romance,Ecchi",NULL,R+ - Mild Nudity
Sora no Otoshimono: Forte,7.5,672,"263,376",TV,12,Funimation,AIC ASTA,"Comedy,Romance,Sci-Fi,Supernatural,Ecchi",Shounen,PG-13 - Teens 13 or older
Tokyo Magnitude 8.0,8.03,673,"263,475",TV,11,Maiden Japan,"Bones,       Kinema Citrus",NULL,NULL,PG-13 - Teens 13 or older
Ginga Eiyuu Densetsu,9.04,674,"262,887",OVA,110,Sentai Filmworks,"K-Factory,       Kitty Film Mitaka Studio","Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Oda Nobuna no Yabou,7.42,675,"262,996",TV,12,Sentai Filmworks,"Madhouse,       Studio Gokumi","Comedy,Romance",NULL,PG-13 - Teens 13 or older
Soredemo Sekai wa Utsukushii,7.64,676,"262,201",TV,12,Sentai Filmworks,Studio Pierrot,"Adventure,Fantasy,Romance",Shoujo,PG-13 - Teens 13 or older
Mahouka Koukou no Rettousei: Raihousha-hen,7.28,677,"263,937",TV,13,Aniplex of America,8bit,"Action,Romance,Sci-Fi,Supernatural",NULL,PG-13 - Teens 13 or older
"Tantei wa Mou, Shindeiru.",6.37,678,"260,923",TV,12,Funimation,ENGI,"Comedy,Drama,Mystery,Romance",NULL,PG-13 - Teens 13 or older
Chainsaw Man,N/A,679,"269,939",TV,Unknown,None found,MAPPA,"Action,Adventure",Shounen,None
Amaama to Inazuma,7.53,680,"262,295",TV,12,None found,TMS Entertainment,"Comedy,Gourmet,Slice of Life",Seinen,PG-13 - Teens 13 or older
Gintama': Enchousen,9.04,681,"260,982",TV,13,None found,Sunrise,"Action,Comedy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Little Busters!,7.5,682,"260,295",TV,26,Sentai Filmworks,J.C.Staff,"Comedy,Drama,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
Nande Koko ni Sensei ga!?,6.49,683,"262,043",TV,12,Sentai Filmworks,Tear Studio,"Comedy,Ecchi",Seinen,PG-13 - Teens 13 or older
One Punch Man Specials,7.7,684,"260,750",Special,6,VIZ Media,Madhouse,"Action,Comedy,Sci-Fi,Supernatural",NULL,R - 17+ (violence & profanity)
Maji de Watashi ni Koi Shinasai!,6.72,685,"258,945",TV,12,Sentai Filmworks,Lerche,"Comedy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Mononoke,8.44,686,"258,401",TV,12,Flatiron Film Company,Toei Animation,"Fantasy,Horror,Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Takt Op. Destiny,7.95,687,"256,714",TV,Unknown,None found,"Madhouse,       MAPPA","Action,Fantasy",NULL,PG-13 - Teens 13 or older
Kakushigoto (TV),8,688,"258,447",TV,12,Funimation,Ajia-Do,"Comedy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Vanitas no Karte,7.92,689,"255,628",TV,12,Funimation,Bones,NULL,Shounen,R - 17+ (violence & profanity)
Araburu Kisetsu no Otome-domo yo.,7.42,690,"257,646",TV,12,Sentai Filmworks,Lay-duce,"Comedy,Drama,Romance",Shounen,PG-13 - Teens 13 or older
Shuffle!,7.06,691,"255,591",TV,24,Funimation,asread.,"Comedy,Drama,Fantasy,Romance,Ecchi",Seinen,R+ - Mild Nudity
"Sentouin, Hakenshimasu!",7.22,692,"259,411",TV,12,Funimation,J.C.Staff,"Action,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Kino no Tabi: The Beautiful World,8.31,693,"255,651",TV,13,"ADV Films,Sentai Filmworks",A.C.G.T.,"Action,Adventure,Slice of Life",NULL,R - 17+ (violence & profanity)
Code Geass: Fukkatsu no Lelouch,7.93,694,"256,808",Movie,1,Funimation,Sunrise,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Mushishi Zoku Shou,8.71,695,"254,772",TV,10,Aniplex of America,Artland,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",Seinen,PG-13 - Teens 13 or older
Kämpfer,6.41,696,"254,067",TV,12,Sentai Filmworks,Nomad,"Action,Comedy,Girls Love,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Gin no Saji,8.1,697,"254,100",TV,11,Aniplex of America,A-1 Pictures,"Comedy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.89,698,"253,985",Movie,1,Aniplex of America,A-1 Pictures,"Drama,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
Fuuka,6.52,699,"254,440",TV,12,"Funimation,Crunchyroll",Diomedéa,"Drama,Romance,Ecchi",Shounen,R+ - Mild Nudity
Ore dake Haireru Kakushi Dungeon,6.29,700,"256,830",TV,12,None found,Okuruto Noboru,"Action,Adventure,Fantasy,Ecchi",NULL,PG-13 - Teens 13 or older
Ajin 2nd Season,7.63,701,"254,156",TV,13,Sentai Filmworks,Polygon Pictures,"Action,Horror,Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Girls & Panzer,7.53,702,"253,421",TV,12,Sentai Filmworks,Actas,"Action,Sports",NULL,PG-13 - Teens 13 or older
Ookami-san to Shichinin no Nakama-tachi,7.2,703,"251,684",TV,12,Funimation,J.C.Staff,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Yesterday wo Utatte,6.93,704,"252,641",TV,12,None found,Doga Kobo,"Drama,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Itazura na Kiss,7.47,705,"251,113",TV,25,Discotek Media,TMS Entertainment,"Comedy,Romance",Shoujo,PG-13 - Teens 13 or older
Gokushufudou,7.09,706,"257,167",ONA,5,None found,J.C.Staff,"Comedy,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Juuni Taisen,6.54,707,"251,411",TV,12,Funimation,Graphinica,NULL,NULL,R - 17+ (violence & profanity)
Yagate Kimi ni Naru,7.92,708,"252,660",TV,13,Sentai Filmworks,TROYCA,"Drama,Girls Love,Romance",NULL,PG-13 - Teens 13 or older
Kaze Tachinu,8.1,709,"250,791",Movie,1,Walt Disney Studios,Studio Ghibli,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Shouwa Genroku Rakugo Shinjuu,8.59,710,"250,484",TV,13,None found,Studio Deen,NULL,Josei,PG-13 - Teens 13 or older
Just Because!,7.26,711,"250,422",TV,12,Sentai Filmworks,Pine Jam,"Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Baki,7.22,712,"256,125",ONA,26,Sentai Filmworks,TMS Entertainment,NULL,Shounen,R - 17+ (violence & profanity)
Kono Bijutsubu ni wa Mondai ga Aru!,7.21,713,"250,257",TV,12,Maiden Japan,feel.,"Comedy,Romance",Seinen,PG-13 - Teens 13 or older
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,7.1,714,"247,766",Movie,1,VIZ Media,Studio Pierrot,"Adventure,Comedy,Drama,Supernatural",Shounen,PG-13 - Teens 13 or older
Naruto: Shippuuden Movie 1,7.29,715,"247,668",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy,Fantasy",Shounen,PG-13 - Teens 13 or older
Grancrest Senki,7.23,716,"249,168",TV,24,Aniplex of America,A-1 Pictures,"Action,Drama,Fantasy,Romance",NULL,R - 17+ (violence & profanity)
Angel Beats! Specials,7.58,717,"247,215",Special,2,Sentai Filmworks,P.A. Works,"Action,Comedy,Supernatural",NULL,PG-13 - Teens 13 or older
Kanon (2006),7.98,718,"246,611",TV,24,"ADV Films,Funimation",Kyoto Animation,"Drama,Romance,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
Okusama ga Seitokaichou!,6.61,719,"248,645",TV,12,Media Blasters,Seven,"Comedy,Romance,Ecchi",Shounen,R+ - Mild Nudity
Black Cat (TV),7.35,720,"246,375",TV,23,Funimation,Gonzo,"Adventure,Comedy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Deca-Dence,7.42,721,"248,002",TV,12,Funimation,Nut,"Action,Adventure,Sci-Fi",NULL,PG-13 - Teens 13 or older
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,722,"245,937",OVA,4,"ADV Films,Aniplex of America",Studio Deen,"Action,Drama,Romance",Shounen,R - 17+ (violence & profanity)
Jujutsu Kaisen 0 Movie,N/A,723,"244,599",Movie,1,None found,MAPPA,"Action,Supernatural",Shounen,None
Sakasama no Patema,8.01,724,"245,458",Movie,1,"NYAV Post,GKIDS","Studio Rikka,       Purple Cow Studio Japan","Adventure,Sci-Fi",NULL,PG-13 - Teens 13 or older
Maken-Ki!,6.36,725,"245,567",TV,12,Funimation,AIC Spirits,"Action,Ecchi",NULL,R+ - Mild Nudity
Gintama.,8.98,726,"246,128",TV,12,None found,Bandai Namco Pictures,"Action,Comedy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Taboo Tattoo,5.76,727,"245,173",TV,12,"Funimation,Crunchyroll",J.C.Staff,"Action,Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Mangaka-san to Assistant-san to The Animation,7.14,728,"243,721",TV,12,Sentai Filmworks,Zexcs,"Comedy,Slice of Life,Ecchi",Seinen,PG-13 - Teens 13 or older
SSSS.Gridman,7.15,729,"244,917",TV,12,Funimation,Trigger,"Action,Sci-Fi",NULL,PG-13 - Teens 13 or older
Nazo no Kanojo X,7.24,730,"244,082",TV,13,Sentai Filmworks,Hoods Entertainment,NULL,Seinen,R - 17+ (violence & profanity)
High School DxD OVA,7.29,731,"243,428",OVA,2,None found,TNK,"Comedy,Romance,Ecchi",NULL,R+ - Mild Nudity
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",7.02,732,"246,685",TV,12,None found,Revoroot,"Comedy,Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
Jaku-Chara Tomozaki-kun,7.18,733,"245,366",TV,12,Funimation,Project No.9,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Evangelion: 3.0+1.0 Thrice Upon a Time,8.69,734,"244,455",Movie,1,None found,Khara,"Action,Drama,Sci-Fi",NULL,PG-13 - Teens 13 or older
Gakuen Babysitters,7.89,735,"245,132",TV,12,None found,Brain's Base,"Comedy,Slice of Life",Shoujo,PG-13 - Teens 13 or older
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6.56,736,"243,637",TV,12,Funimation,"Seven,       GEEK TOYS","Comedy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Akuma no Riddle,6.62,737,"240,944",TV,12,Funimation,Diomedéa,"Action,Girls Love",NULL,R - 17+ (violence & profanity)
Nurarihyon no Mago,7.63,738,"240,737",TV,24,VIZ Media,Studio Deen,"Action,Supernatural",Shounen,PG-13 - Teens 13 or older
Love Hina,7.12,739,"240,390",TV,24,"Funimation,Bandai Entertainment",Xebec,"Comedy,Romance,Slice of Life,Ecchi",Shounen,PG-13 - Teens 13 or older
