Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Sekaiichi Hatsukoi,7.71,929,"193,431",TV,12,Funimation,Studio Deen,"Boys Love,Comedy,Drama,Romance",NULL,PG-13 - Teens 13 or older
Seirei no Moribito,8.15,930,"192,791",TV,26,"VIZ Media,Media Blasters,Sentai Filmworks,Geneon Entertainment USA",Production I.G,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,6.35,931,"195,090",TV,12,None found,Project No.9,NULL,NULL,PG-13 - Teens 13 or older
Fate/stay night Movie: Unlimited Blade Works,7.38,932,"192,789",Movie,1,Sentai Filmworks,Studio Deen,"Action,Fantasy,Supernatural",NULL,R - 17+ (violence & profanity)
Joker Game,7.04,933,"192,941",TV,12,"Funimation,Crunchyroll",Production I.G,NULL,NULL,R - 17+ (violence & profanity)
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,7.5,934,"193,107",Special,1,Sentai Filmworks,Kyoto Animation,"Comedy,Drama,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Seiren,6.29,935,"194,000",TV,12,None found,"Studio Gokumi,       AXsiZ",NULL,NULL,PG-13 - Teens 13 or older
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.01,936,"194,207",TV,14,Crunchyroll,Ajia-Do,"Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
"Kumo no Mukou, Yakusoku no Basho",7.51,937,"191,915",Movie,1,ADV Films,CoMix Wave Films,"Drama,Romance,Sci-Fi",NULL,PG-13 - Teens 13 or older
Osananajimi ga Zettai ni Makenai Love Comedy,6.11,938,"194,397",TV,12,None found,Doga Kobo,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Boogiepop wa Warawanai (2019),7.09,939,"192,959",TV,18,Funimation,Madhouse,"Avant Garde,Drama,Horror,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Chrome Shelled Regios,7.31,940,"191,753",TV,24,Funimation,Zexcs,"Action,Adventure,Fantasy,Sci-Fi",NULL,R - 17+ (violence & profanity)
Kujira no Kora wa Sajou ni Utau,7.18,941,"192,757",TV,12,Netflix,J.C.Staff,"Drama,Fantasy,Mystery",Shoujo,PG-13 - Teens 13 or older
Naruto: Shippuuden Movie 5 - Blood Prison,7.45,942,"192,400",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Mystery",Shounen,PG-13 - Teens 13 or older
Princess Connect! Re:Dive,7.03,943,"193,510",TV,13,None found,CygamesPictures,"Action,Adventure,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Aoi Bungaku Series,7.72,944,"190,629",TV,12,None found,Madhouse,"Drama,Suspense",Seinen,R - 17+ (violence & profanity)
Ladies versus Butlers!,6.6,945,"189,601",TV,12,Media Blasters,Xebec,"Comedy,Romance,Ecchi",NULL,R+ - Mild Nudity
Kareshi Kanojo no Jijou,7.6,946,"189,352",TV,26,Nozomi Entertainment,"Gainax,       J.C.Staff","Comedy,Drama,Romance,Slice of Life",Shoujo,PG-13 - Teens 13 or older
Detroit Metal City,8.13,947,"189,009",OVA,12,Sentai Filmworks,Studio 4°C,NULL,Seinen,R - 17+ (violence & profanity)
Mobile Suit Gundam: Iron-Blooded Orphans,8.03,948,"189,987",TV,25,Funimation,Sunrise,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Isekai Quartet 2,7.37,949,"190,155",TV,12,Funimation,Studio PuYUKAI,"Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,7.43,950,"189,215",TV,12,Sentai Filmworks,TROYCA,"Drama,Mystery,Suspense",NULL,R - 17+ (violence & profanity)
Seikoku no Dragonar,6.47,951,"188,617",TV,12,Funimation,C-Station,"Comedy,Fantasy,Ecchi",NULL,R+ - Mild Nudity
"Kono Naka ni Hitori, Imouto ga Iru!",6.56,952,"188,033",TV,12,Sentai Filmworks,Studio Gokumi,"Comedy,Mystery,Romance,Ecchi",NULL,R+ - Mild Nudity
Kara no Kyoukai 4: Garan no Dou,7.87,953,"187,893",Movie,1,Aniplex of America,ufotable,"Action,Mystery,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Poputepipikku,7.28,954,"188,304",TV,12,"Funimation,Sentai Filmworks",Kamikaze Douga,NULL,NULL,PG-13 - Teens 13 or older
Hibike! Euphonium 2,8.3,955,"188,315",TV,13,Ponycan USA,Kyoto Animation,NULL,NULL,PG-13 - Teens 13 or older
Asu no Yoichi!,6.74,956,"187,193",TV,12,Sentai Filmworks,AIC,"Comedy,Romance,Ecchi",Shounen,PG-13 - Teens 13 or older
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,7.6,957,"188,763",Movie,1,None found,White Fox,"Drama,Fantasy,Suspense",NULL,PG-13 - Teens 13 or older
Servant x Service,7.65,958,"186,954",TV,13,Aniplex of America,A-1 Pictures,"Comedy,Slice of Life",Seinen,PG-13 - Teens 13 or older
Rozen Maiden,7.42,959,"186,311",TV,12,"Sentai Filmworks,Geneon Entertainment USA",Nomad,"Action,Comedy,Drama",Seinen,PG-13 - Teens 13 or older
Bungou Stray Dogs: Dead Apple,7.89,960,"188,782",Movie,1,Crunchyroll,Bones,"Action,Comedy,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Goblin Slayer: Goblin's Crown,7.22,961,"188,145",Movie,1,None found,White Fox,"Action,Adventure,Fantasy",NULL,R - 17+ (violence & profanity)
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.73,962,"186,382",Movie,1,"VIZ Media,NYAV Post",Studio 4°C,"Action,Adventure,Fantasy,Supernatural",Seinen,R+ - Mild Nudity
Log Horizon: Entaku Houkai,7.04,963,"186,988",TV,12,Funimation,Studio Deen,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Rewrite,6.67,964,"186,232",TV,13,None found,8bit,"Action,Comedy,Romance,Supernatural",NULL,PG-13 - Teens 13 or older
Arcana Famiglia,6.26,965,"185,570",TV,12,Sentai Filmworks,J.C.Staff,"Action,Romance,Supernatural",Shoujo,PG-13 - Teens 13 or older
Fairy Tail Movie 1: Houou no Miko,7.38,966,"185,674",Movie,1,Funimation,"Satelight,       A-1 Pictures","Action,Adventure,Comedy,Fantasy",Shounen,PG-13 - Teens 13 or older
Mahou Shoujo Site,6.51,967,"186,848",TV,12,Sentai Filmworks,production doA,"Drama,Horror,Supernatural",NULL,R - 17+ (violence & profanity)
Fate/Extra: Last Encore,6.28,968,"186,587",TV,10,None found,Shaft,"Action,Fantasy",NULL,R - 17+ (violence & profanity)
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,969,"185,085",Movie,1,Aniplex of America,Gainax,"Action,Sci-Fi",NULL,R+ - Mild Nudity
Rail Wars!,6.4,970,"185,308",TV,12,Sentai Filmworks,Passione,"Action,Ecchi",NULL,R+ - Mild Nudity
Toaru Kagaku no Accelerator,7.19,971,"184,842",TV,12,Funimation,"J.C.Staff,       A.C.G.T.","Fantasy,Supernatural",NULL,R - 17+ (violence & profanity)
Yu☆Gi☆Oh!: Duel Monsters GX,7.16,972,"183,371",TV,180,"4Kids Entertainment,Flatiron Film Company",Gallop,"Action,Comedy,Fantasy",Shounen,PG-13 - Teens 13 or older
Aku no Hana,7.15,973,"183,592",TV,13,Sentai Filmworks,Zexcs,"Drama,Romance",Shounen,R - 17+ (violence & profanity)
Soul Eater NOT!,5.92,974,"182,982",TV,12,Funimation,Bones,"Action,Comedy,Supernatural,Ecchi",Shounen,PG-13 - Teens 13 or older
Isekai Shokudou,7.36,975,"185,984",TV,12,Funimation,SILVER LINK.,"Fantasy,Gourmet,Slice of Life",NULL,PG-13 - Teens 13 or older
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7.71,976,"182,124",TV,12,None found,"SILVER LINK.,       Studio Palette","Action,Fantasy",NULL,PG-13 - Teens 13 or older
"Maou-sama, Retry!",6.53,977,"182,857",TV,12,Funimation,EKACHI EPILKA,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Hoshi wo Ou Kodomo,7.55,978,"181,470",Movie,1,Sentai Filmworks,CoMix Wave Films,"Adventure,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.42,979,"180,957",Movie,1,Aniplex of America,ufotable,"Action,Mystery,Romance,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
High School DxD Specials,7.27,980,"181,063",Special,6,Funimation,TNK,"Comedy,Romance,Ecchi",NULL,R+ - Mild Nudity
Mairimashita! Iruma-kun 2nd Season,8.1,981,"180,084",TV,21,None found,Bandai Namco Pictures,"Comedy,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Hitsugi no Chaika: Avenging Battle,7.19,982,"180,915",TV,10,Sentai Filmworks,Bones,"Action,Adventure,Comedy,Fantasy,Romance",NULL,R - 17+ (violence & profanity)
Uta no☆Prince-sama♪: Maji Love 1000%,7.05,983,"180,406",TV,13,Sentai Filmworks,A-1 Pictures,"Comedy,Romance",Shoujo,PG-13 - Teens 13 or older
Zoku Owarimonogatari,8.48,984,"181,274",Movie,6,Aniplex of America,Shaft,"Comedy,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Berserk: Ougon Jidai-hen III - Kourin,8.2,985,"180,065",Movie,1,"VIZ Media,NYAV Post",Studio 4°C,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",Seinen,R+ - Mild Nudity
Kill la Kill Specials,7.7,986,"179,244",Special,2,Aniplex of America,Trigger,"Action,Comedy",NULL,R - 17+ (violence & profanity)
Dragon Ball Z Movie 14: Kami to Kami,7.39,987,"178,563",Movie,1,Funimation,Toei Animation,"Action,Adventure,Fantasy",Shounen,PG-13 - Teens 13 or older
Paradise Kiss,7.84,988,"178,088",TV,12,Geneon Entertainment USA,Madhouse,"Comedy,Drama,Romance,Slice of Life",Josei,R - 17+ (violence & profanity)
Itsudatte Bokura no Koi wa 10 cm Datta.,7.49,989,"178,714",TV,6,Aniplex of America,Lay-duce,"Comedy,Drama,Romance",NULL,PG-13 - Teens 13 or older
Bokusatsu Tenshi Dokuro-chan,6.56,990,"177,192",OVA,4,"Media Blasters,Discotek Media","Hal Film Maker,       Nomad","Comedy,Ecchi",NULL,R - 17+ (violence & profanity)
Occultic Nine,6.92,991,"177,385",TV,12,Aniplex of America,A-1 Pictures,"Mystery,Sci-Fi",NULL,PG-13 - Teens 13 or older
Plastic Neesan,7.23,992,"177,282",ONA,12,None found,"Barnum Studio,       TYO Animations",NULL,Seinen,PG-13 - Teens 13 or older
Toaru Kagaku no Railgun T,8.21,993,"178,451",TV,25,Funimation,J.C.Staff,"Action,Sci-Fi",NULL,R - 17+ (violence & profanity)
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.38,994,"177,188",Movie,1,Aniplex of America,Shaft,"Drama,Suspense",NULL,PG-13 - Teens 13 or older
Seitokai no Ichizon,7.34,995,"176,934",TV,12,Sentai Filmworks,Studio Deen,NULL,NULL,PG-13 - Teens 13 or older
Shoujo Kakumei Utena,8.18,996,"176,616",TV,39,"Nozomi Entertainment,Central Park Media",J.C.Staff,"Comedy,Drama,Fantasy,Mystery",Shoujo,PG-13 - Teens 13 or older
Asobi ni Iku yo!,6.62,997,"176,310",TV,12,Funimation,AIC PLUS+,"Comedy,Romance,Sci-Fi,Ecchi",NULL,R+ - Mild Nudity
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.17,998,"176,032",Special,1,ADV Films,Arms,"Drama,Horror,Supernatural,Ecchi",Seinen,R+ - Mild Nudity
Love Lab,7.33,999,"176,452",TV,13,Sentai Filmworks,Doga Kobo,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Hitoribocchi no Marumaru Seikatsu,7.5,1000,"177,647",TV,12,None found,C2C,"Comedy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Bleach Movie 4: Jigoku-hen,7.6,1001,"175,813",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Kaguya-hime no Monogatari,8.21,1002,"176,373",Movie,1,GKIDS,Studio Ghibli,NULL,NULL,G - All Ages
Hataraku Saibou Black (TV),7.55,1003,"177,039",TV,13,Aniplex of America,LIDENFILMS,"Action,Drama",Seinen,PG-13 - Teens 13 or older
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,6.9,1004,"175,305",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure",NULL,PG-13 - Teens 13 or older
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,7.24,1005,"176,622",Movie,1,Aniplex of America,Qualia Animation,NULL,NULL,PG-13 - Teens 13 or older
"Tokyo Ghoul: ""Pinto""",7.23,1006,"175,693",OVA,1,Funimation,Studio Pierrot,"Action,Drama,Horror,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.23,1007,"174,723",Movie,1,Aniplex of America,Shaft,"Drama,Suspense",NULL,PG-13 - Teens 13 or older
Digimon Tamers,7.63,1008,"174,355",TV,51,"Saban Entertainment,Flatiron Film Company",Toei Animation,"Adventure,Comedy,Drama,Fantasy",Shounen,PG - Children
Princess Principal,7.71,1009,"175,073",TV,12,Sentai Filmworks,"Actas,       Studio 3Hz","Action,Mystery",NULL,R - 17+ (violence & profanity)
D.N.Angel,7.18,1010,"174,186",TV,26,"ADV Films,Discotek Media",Xebec,"Action,Comedy,Fantasy,Romance",Shoujo,PG-13 - Teens 13 or older
Papa no Iukoto wo Kikinasai!,7.3,1011,"173,805",TV,12,Sentai Filmworks,feel.,"Comedy,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Shinryaku! Ika Musume,7.44,1012,"173,616",TV,12,"Media Blasters,Sentai Filmworks",Diomedéa,"Comedy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Myself Yourself,7.16,1013,"173,307",TV,13,Maiden Japan,Doga Kobo,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Isekai no Seikishi Monogatari,7.8,1014,"173,573",OVA,13,Funimation,"AIC Spirits,       BeSTACK","Action,Comedy,Fantasy,Ecchi",NULL,R+ - Mild Nudity
Dog Days,6.91,1015,"173,446",TV,13,None found,Seven Arcs,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,7.38,1016,"173,316",ONA,4,Aniplex of America,AIC Build,"Comedy,Slice of Life",NULL,PG-13 - Teens 13 or older
Tate no Yuusha no Nariagari Season 3,N/A,1017,"176,331",TV,Unknown,None found,None found,"Action,Adventure,Drama,Fantasy",NULL,PG-13 - Teens 13 or older
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,7.35,1018,"173,541",TV,13,None found,Seven,"Comedy,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Higurashi no Naku Koro ni Rei,7.42,1019,"172,815",OVA,5,Sentai Filmworks,Studio Deen,"Comedy,Mystery,Supernatural,Suspense",NULL,PG-13 - Teens 13 or older
Death Note: Rewrite,7.69,1020,"172,390",Special,2,VIZ Media,Madhouse,"Mystery,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Gatchaman Crowds,7.31,1021,"171,422",TV,12,Sentai Filmworks,Tatsunoko Production,"Adventure,Sci-Fi",NULL,PG-13 - Teens 13 or older
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.89,1022,"171,752",Movie,1,"VIZ Media,NYAV Post",Studio 4°C,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",Seinen,R+ - Mild Nudity
Kanojo ga Flag wo Oraretara,6.4,1023,"171,249",TV,13,"NIS America,Inc.",Hoods Entertainment,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Gunslinger Girl,7.4,1024,"170,636",TV,13,Funimation,Madhouse,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Mo Dao Zu Shi,8.48,1025,"172,656",ONA,15,None found,B.CMAY PICTURES,"Action,Adventure,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Burn the Witch,7.13,1026,"171,922",Movie,3,None found,Studio Colorido,"Action,Fantasy",Shounen,PG-13 - Teens 13 or older
Non Non Biyori Repeat,8.19,1027,"170,956",TV,12,Sentai Filmworks,SILVER LINK.,"Comedy,Slice of Life",Seinen,PG-13 - Teens 13 or older
Cross Ange: Tenshi to Ryuu no Rondo,7.4,1028,"170,768",TV,25,Sentai Filmworks,Sunrise,"Action,Sci-Fi",NULL,R - 17+ (violence & profanity)
Osake wa Fuufu ni Natte kara,6.96,1029,"171,272",TV,13,None found,Creators in Pack,"Comedy,Gourmet,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.33,1030,"170,111",Movie,1,VIZ Media,Studio Pierrot,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Another: The Other - Inga,7.29,1031,"170,243",OVA,1,None found,P.A. Works,"Horror,Mystery,Suspense",NULL,R - 17+ (violence & profanity)
Carnival Phantasm,7.88,1032,"170,218",OVA,12,None found,Lerche,"Comedy,Supernatural",NULL,PG-13 - Teens 13 or older
Tenjou Tenge,6.9,1033,"169,521",TV,24,"Discotek Media,Geneon Entertainment USA",Madhouse,"Action,Comedy,Ecchi",Shounen,R - 17+ (violence & profanity)
JoJo no Kimyou na Bouken Part 6: Stone Ocean,N/A,1034,"175,315",TV,Unknown,None found,David Production,"Action,Adventure",Shounen,R - 17+ (violence & profanity)
Jinrui wa Suitai Shimashita,7.76,1035,"169,559",TV,12,Sentai Filmworks,AIC ASTA,"Adventure,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Sonny Boy,7.68,1037,"169,042",TV,12,Funimation,Madhouse,NULL,NULL,PG-13 - Teens 13 or older
Radiant,6.86,1038,"170,373",TV,21,Funimation,Lerche,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
86 Part 2,8.64,1036,"169,119",TV,12,None found,A-1 Pictures,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
D.Gray-man Hallow,7.72,1039,"169,522",TV,13,Funimation,TMS Entertainment,"Action,Adventure",Shounen,R - 17+ (violence & profanity)
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",7.75,1040,"170,912",Special,1,Funimation,Kyoto Animation,"Comedy,Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6.09,1041,"170,176",Movie,1,"NYAV Post,GKIDS",Shaft,"Romance,Sci-Fi",NULL,PG-13 - Teens 13 or older
Koi to Yobu ni wa Kimochi Warui,7.18,1042,"171,295",TV,12,None found,Nomad,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
Inazuma Eleven,7.62,1043,"168,678",TV,127,None found,OLM,NULL,Shounen,G - All Ages
Flip Flappers,7.66,1044,"168,453",TV,13,Sentai Filmworks,Studio 3Hz,"Adventure,Comedy,Sci-Fi",NULL,PG-13 - Teens 13 or older
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,7.44,1045,"169,296",Movie,1,Sentai Filmworks,J.C.Staff,"Action,Adventure,Comedy,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Kimetsu no Yaiba: Mugen Ressha-hen,8.46,1046,"167,866",TV,7,None found,ufotable,NULL,Shounen,R - 17+ (violence & profanity)
Tensei shitara Slime Datta Ken OVA,7.48,1047,"169,453",OVA,5,None found,8bit,"Action,Adventure,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Kara no Kyoukai 6: Boukyaku Rokuon,7.5,1048,"167,822",Movie,1,Aniplex of America,ufotable,"Action,Mystery,Romance,Supernatural,Suspense",NULL,R - 17+ (violence & profanity)
Date A Live: Date to Date,7.35,1049,"168,085",OVA,1,Funimation,AIC PLUS+,"Comedy,Romance,Sci-Fi",NULL,R+ - Mild Nudity
Basilisk: Kouga Ninpou Chou,7.56,1050,"167,081",TV,24,Funimation,Gonzo,"Action,Adventure,Fantasy,Romance,Supernatural",NULL,R - 17+ (violence & profanity)
Trinity Blood,7.31,1051,"167,042",TV,24,Funimation,Gonzo,"Action,Supernatural",NULL,R - 17+ (violence & profanity)
Michiko to Hatchin,7.84,1052,"167,194",TV,22,Funimation,Manglobe,"Action,Adventure",NULL,R - 17+ (violence & profanity)
Romeo x Juliet,7.62,1053,"166,753",TV,24,Funimation,Gonzo,"Drama,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
.hack//Sign,6.96,1054,"166,484",TV,26,"Funimation,Bandai Entertainment",Bee Train,"Adventure,Fantasy,Mystery,Sci-Fi",NULL,PG-13 - Teens 13 or older
Black★Rock Shooter (OVA),7.11,1055,"166,246",OVA,1,None found,Ordet,"Action,Drama",NULL,PG-13 - Teens 13 or older
"Hachi-nan tte, Sore wa Nai deshou!",6.22,1056,"168,187",TV,12,None found,"SynergySP,       Shin-Ei Animation","Action,Fantasy",NULL,PG-13 - Teens 13 or older
Uchuu Kyoudai,8.51,1057,"166,438",TV,99,Sentai Filmworks,A-1 Pictures,"Comedy,Sci-Fi,Slice of Life",Seinen,PG-13 - Teens 13 or older
Gungrave,7.85,1058,"165,657",TV,26,"Funimation,Geneon Entertainment USA",Madhouse,"Action,Drama,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Colorful (Movie),7.8,1059,"165,865",Movie,1,Sentai Filmworks,"Sunrise,       Ascension","Drama,Slice of Life,Supernatural",NULL,PG-13 - Teens 13 or older
Pupa,3.34,1060,"166,001",TV,12,None found,Studio Deen,"Fantasy,Horror",NULL,R - 17+ (violence & profanity)
Fate/Grand Order: First Order,6.75,1061,"167,063",Special,1,Aniplex of America,Lay-duce,"Action,Fantasy,Supernatural",NULL,PG-13 - Teens 13 or older
Bokura no,7.64,1062,"165,561",TV,24,Discotek Media,Gonzo,"Drama,Sci-Fi",Seinen,R - 17+ (violence & profanity)
Robotics Notes,7.33,1063,"165,628",TV,22,Funimation,Production I.G,"Drama,Mystery,Sci-Fi",NULL,PG-13 - Teens 13 or older
Kiniro Mosaic,7.25,1064,"165,741",TV,12,Sentai Filmworks,Studio Gokumi,"Comedy,Slice of Life",Seinen,PG-13 - Teens 13 or older
Date A Live Movie: Mayuri Judgment,7.35,1065,"166,253",Movie,1,None found,Production IMS,"Romance,Sci-Fi",NULL,PG-13 - Teens 13 or older
Boku no Hero Academia: Training of the Dead,7.28,1066,"165,965",OVA,1,None found,Bones,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Jormungand: Perfect Order,7.92,1067,"165,003",TV,12,Funimation,White Fox,"Action,Adventure",Seinen,R+ - Mild Nudity
Kino no Tabi: The Beautiful World - The Animated Series,7.6,1068,"165,783",TV,12,Funimation,Lerche,"Action,Adventure,Slice of Life",NULL,R - 17+ (violence & profanity)
Hello World,7.55,1069,"166,956",Movie,1,None found,Graphinica,"Drama,Romance,Sci-Fi",NULL,PG-13 - Teens 13 or older
Eve no Jikan,8.05,1070,"164,023",ONA,6,None found,Studio Rikka,"Sci-Fi,Slice of Life",NULL,PG-13 - Teens 13 or older
Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,7.34,1071,"164,137",Movie,1,"4Kids Entertainment,Warner Bros. Japan",OLM,"Adventure,Comedy,Drama,Fantasy",Kids,PG - Children
Kimi to Boku.,7.68,1072,"164,346",TV,13,None found,J.C.Staff,"Comedy,Drama,Romance,Slice of Life",Shounen,PG-13 - Teens 13 or older
Fullmetal Alchemist: The Sacred Star of Milos,7.29,1073,"164,126",Movie,1,Funimation,Bones,"Action,Adventure,Comedy,Drama,Fantasy",Shounen,R - 17+ (violence & profanity)
Strike the Blood II,7.02,1074,"164,927",OVA,8,None found,"SILVER LINK.,       Connect","Action,Fantasy,Supernatural,Ecchi",NULL,R+ - Mild Nudity
Gugure! Kokkuri-san,7.57,1075,"164,392",TV,12,Sentai Filmworks,TMS Entertainment,"Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Kyoukaisenjou no Horizon,7.06,1076,"163,880",TV,13,Sentai Filmworks,Sunrise,"Action,Fantasy,Sci-Fi",NULL,PG-13 - Teens 13 or older
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,6.5,1077,"166,056",TV,12,Funimation,ENGI,"Action,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Karin,7.13,1078,"163,568",TV,24,"Funimation,Geneon Entertainment USA",J.C.Staff,"Comedy,Romance,Supernatural",Shounen,PG-13 - Teens 13 or older
Nanatsu no Taizai OVA,7.54,1079,"164,666",OVA,2,None found,A-1 Pictures,"Action,Adventure,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
No Guns Life,6.87,1080,"164,311",TV,12,Funimation,Madhouse,"Action,Drama,Sci-Fi",Seinen,PG-13 - Teens 13 or older
UQ Holder!: Mahou Sensei Negima! 2,6.96,1081,"164,845",TV,12,Sentai Filmworks,J.C.Staff,"Action,Fantasy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
C³,6.62,1082,"163,510",TV,12,Funimation,SILVER LINK.,"Action,Comedy,Supernatural,Ecchi",NULL,R - 17+ (violence & profanity)
Mnemosyne: Mnemosyne no Musume-tachi,7.29,1083,"163,197",TV,6,Funimation,Xebec,"Action,Girls Love,Horror,Sci-Fi,Supernatural",NULL,R+ - Mild Nudity
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",7.08,1084,"164,286",TV,12,None found,Maho Film,"Fantasy,Slice of Life",NULL,PG-13 - Teens 13 or older
Baccano! Specials,8.12,1085,"162,833",Special,3,"Funimation,Aniplex of America",Brain's Base,"Action,Comedy,Mystery,Supernatural",NULL,R - 17+ (violence & profanity)
Nourin,6.78,1086,"163,008",TV,12,Funimation,SILVER LINK.,"Comedy,Romance,Ecchi",NULL,PG-13 - Teens 13 or older
Granblue Fantasy The Animation,6.66,1087,"163,587",TV,13,Aniplex of America,A-1 Pictures,"Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Jahy-sama wa Kujikenai!,7.02,1088,"162,262",TV,20,None found,SILVER LINK.,"Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Hyakka Ryouran: Samurai Girls,6.79,1089,"162,391",TV,12,Sentai Filmworks,Arms,"Action,Comedy,Ecchi",NULL,R+ - Mild Nudity
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.37,1090,"162,427",Movie,1,Funimation,Sunrise,"Action,Sci-Fi",NULL,R - 17+ (violence & profanity)
Kyousou Giga (TV),7.75,1091,"162,086",TV,10,Discotek Media,Toei Animation,"Action,Fantasy,Supernatural",NULL,PG-13 - Teens 13 or older
Initial D Second Stage,8.13,1092,"161,998",TV,13,"Funimation,Tokyopop",Pastel,"Action,Drama,Sports",Seinen,PG-13 - Teens 13 or older
Junjou Romantica 2,7.78,1093,"161,880",TV,12,Nozomi Entertainment,Studio Deen,"Boys Love,Comedy,Drama,Romance",NULL,PG-13 - Teens 13 or older
Eyeshield 21,7.93,1094,"161,512",TV,145,"VIZ Media,Sentai Filmworks",Gallop,"Action,Comedy,Sports",Shounen,PG-13 - Teens 13 or older
